dataset,reduction_method,clustering_model,reduction_runtime,clustering_runtime,dbi,chi,ari,f_measure,n_clusters,n_components,max_iterations,tolerance,random_state,metric,algorithm,min_samples,xi,min_cluster_size,kernel,gamma
mushroom,kernel_pca,optics,,3.637266159057617,1.8147275432152974,82.04579443209784,0.025236592525810897,0.0001156855089439359,259.0,12,,,,euclidean,ball_tree,10,0.1,5,poly,1
mushroom,kernel_pca,optics,,3.584650039672852,1.0669552446893753,79.61946522723697,0.0086932146283626,0.00010020918667718863,299.0,12,,,,euclidean,ball_tree,10,0.1,5,rbf,0.1
mushroom,kernel_pca,optics,,3.629570007324219,1.5467697713475566,83.03086136876787,0.006791891140809221,3.2454250182982185e-05,277.0,12,,,,euclidean,ball_tree,10,0.1,5,rbf,1
mushroom,kernel_pca,optics,2.79983901977539,3.222224235534668,20.182958702396704,38.28482249618672,0.002824362715479666,3.497987276531543e-05,257.0,2,,,,euclidean,ball_tree,10,0.1,5,poly,0.1
mushroom,kernel_pca,optics,2.2194902896881104,2.960565090179444,30.112568753141794,35.4481014251945,0.006440677081767596,1.5941875920394243e-05,238.0,2,,,,euclidean,ball_tree,10,0.1,5,poly,1
mushroom,kernel_pca,optics,1.9500129222869875,2.797048091888428,12.700975931165521,44.8780335458373,0.0016454155294466232,2.0511978995733507e-05,277.0,2,,,,euclidean,ball_tree,10,0.1,5,rbf,0.1
mushroom,kernel_pca,optics,2.213917016983032,2.815161943435669,5.100119911137497,29.82006735844919,0.02111506725737554,2.2254791933591703e-05,298.0,2,,,,euclidean,ball_tree,10,0.1,5,rbf,1
mushroom,kernel_pca,optics,2.0705039501190186,2.872882843017578,1.7262038136020517,49.90636949079486,0.005469304819491504,1.9042504774908075e-05,249.0,3,,,,euclidean,ball_tree,10,0.1,5,poly,0.1
mushroom,kernel_pca,optics,2.0884058475494385,3.1438028812408447,1.3956106953796121,41.315005992098506,0.015391675728801516,2.5348468318801835e-05,243.0,3,,,,euclidean,ball_tree,10,0.1,5,poly,1
mushroom,kernel_pca,optics,1.9360220432281492,2.9663360118865967,1.9823543100109993,47.14719572915449,0.005661687268326732,2.4075500770416025e-05,236.0,3,,,,euclidean,ball_tree,10,0.1,5,rbf,0.1
mushroom,kernel_pca,optics,2.757565498352051,2.9408349990844727,1.9739498760246164,33.95864148146567,0.0015499127140007108,4.4830652211271924e-05,253.0,3,,,,euclidean,ball_tree,10,0.1,5,rbf,1
mushroom,kernel_pca,optics,,3.029524087905884,2.3650717320214203,35.01910104103367,0.0074657750944926255,2.549238542447371e-05,186.0,4,,,,euclidean,ball_tree,10,0.1,5,poly,0.1
mushroom,kernel_pca,optics,,3.006363868713379,1.5340427691094853,31.571065901294606,0.00273484609794112,3.119462953257967e-05,152.0,4,,,,euclidean,ball_tree,10,0.1,5,poly,1
mushroom,kernel_pca,optics,,2.9976749420166016,1.7928938981248335,42.651348082549966,0.0173919000520781,4.151243643408171e-05,137.0,4,,,,euclidean,ball_tree,10,0.1,5,rbf,0.1
